id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
2,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
3,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
4,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
5,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
6,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
7,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
8,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
9,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
10,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
11,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
12,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
13,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
14,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
15,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
16,1.5971,0.5526,1.6105,1.3088,0.4131,1.2881,1.197,0.3965,0.3972,1.2819,1.7117,0.7783,0.7517,1.3057,2.0286,1.0348,0.8447,1.9766,0.4665,0.5663,2.0359,1.0593,1.9597,1.4449,0.783
