id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
26,2.4734,1.1475,1.6273,0.8055,1.9282,1.2058,0.971,1.9898,0.9381,1.6496,1.8482,0.8904,1.1264,1.4201,0.8642,0.5134,1.9623,1.7193,1.414,2.1778,1.4676,2.1307,1.7066,1.1844,1.251
27,2.4937,1.1746,1.6617,0.8162,1.9318,1.2279,0.9788,2.0012,0.962,1.6591,1.8632,0.9292,1.1552,1.4547,0.8906,0.5461,1.9765,1.7435,1.4452,2.1982,1.4936,2.1355,1.7365,1.2284,1.2833
28,2.6853,1.2686,1.9104,1.0281,2.0452,1.3832,1.18,2.1142,1.2063,1.7403,1.9906,1.1552,1.3987,1.6538,1.0376,0.7335,2.1208,1.9838,1.7008,2.3042,1.6866,2.2265,1.9817,1.4614,1.4036
29,2.6013,1.1474,1.8868,1.1351,1.9324,1.2732,1.2901,1.9818,1.1997,1.5932,1.863,1.1173,1.4869,1.5772,0.932,0.6722,2.0066,1.9634,1.6971,2.1622,1.6005,2.0925,1.9547,1.4639,1.2992
30,2.7806,1.3166,1.9955,1.0911,2.1365,1.4664,1.2416,2.198,1.3002,1.8154,2.0747,1.2301,1.4569,1.7301,1.1109,0.8095,2.211,2.0791,1.7885,2.372,1.7751,2.3104,2.0726,1.519,1.4519
31,2.7739,1.3002,1.9845,1.0908,2.1349,1.4561,1.2428,2.1919,1.2941,1.8085,2.0673,1.2159,1.4499,1.716,1.0976,0.7957,2.2049,2.073,1.7797,2.3605,1.7649,2.3072,2.0637,1.503,1.4344
32,2.7691,1.2842,1.9763,1.0942,2.1345,1.4472,1.2477,2.1867,1.2911,1.8021,2.0608,1.2041,1.4465,1.7037,1.0857,0.7841,2.2002,2.0698,1.774,2.3495,1.7567,2.3046,2.0576,1.4895,1.4177
33,2.7645,1.2684,1.9683,1.098,2.1343,1.4385,1.2528,2.1817,1.2884,1.7959,2.0546,1.1926,1.4434,1.6917,1.074,0.7729,2.1957,2.0669,1.7686,2.3387,1.7487,2.3023,2.0517,1.4763,1.401
34,2.76,1.2528,1.9605,1.1022,2.1343,1.4302,1.2583,2.1768,1.286,1.7899,2.0485,1.1813,1.4406,1.6798,1.0627,0.762,2.1913,2.0641,1.7633,2.328,1.741,2.3001,2.046,1.4632,1.3845
35,2.7556,1.2373,1.9528,1.1067,2.1345,1.422,1.2642,2.1722,1.2839,1.7842,2.0427,1.1703,1.4381,1.6681,1.0516,0.7516,2.1871,2.0615,1.7583,2.3175,1.7334,2.2982,2.0404,1.4503,1.3681
36,2.7514,1.222,1.9454,1.1116,2.1349,1.4141,1.2703,2.1678,1.2822,1.7787,2.037,1.1596,1.4359,1.6565,1.0408,0.7416,2.1831,2.0591,1.7535,2.3071,1.7261,2.2964,2.0351,1.4375,1.3518
37,2.7474,1.2068,1.9381,1.1169,2.1355,1.4065,1.2767,2.1635,1.2808,1.7733,2.0315,1.1491,1.434,1.6452,1.0304,0.732,2.1794,2.057,1.749,2.2968,1.7189,2.2948,2.03,1.425,1.3357
38,2.7435,1.1918,1.9311,1.1225,2.1362,1.3991,1.2835,2.1594,1.2798,1.7683,2.0263,1.1389,1.4324,1.634,1.0202,0.7229,2.1758,2.055,1.7447,2.2867,1.712,2.2934,2.025,1.4127,1.3197
39,2.7399,1.179,1.925,1.1275,2.1365,1.3927,1.2893,2.1556,1.2789,1.7636,2.0215,1.1303,1.4313,1.6244,1.0115,0.7153,2.1724,2.0532,1.741,2.2778,1.706,2.2918,2.0207,1.4023,1.306
40,2.7363,1.1643,1.9183,1.1338,2.1377,1.3858,1.2966,2.1519,1.2784,1.759,2.0166,1.1207,1.4303,1.6136,1.002,0.7071,2.1691,2.0516,1.7371,2.268,1.6995,2.2907,2.0162,1.3904,1.2902
41,2.7328,1.1498,1.9118,1.1404,2.1391,1.3793,1.3042,2.1484,1.2783,1.7545,2.0118,1.1113,1.4295,1.6029,0.9927,0.6994,2.1661,2.0502,1.7335,2.2583,1.6932,2.2898,2.0118,1.3786,1.2746
42,2.7295,1.1354,1.9055,1.1474,2.1406,1.373,1.312,2.145,1.2786,1.7503,2.0073,1.1023,1.4291,1.5925,0.9839,0.6923,2.1632,2.0491,1.7301,2.2487,1.6871,2.2891,2.0076,1.367,1.2591
43,2.7263,1.1213,1.8994,1.1547,2.1424,1.3669,1.3202,2.1419,1.2791,1.7464,2.003,1.0935,1.4289,1.5822,0.9754,0.6857,2.1605,2.0481,1.7269,2.2393,1.6813,2.2886,2.0037,1.3557,1.2437
44,2.7233,1.1074,1.8935,1.1623,2.1443,1.3612,1.3286,2.139,1.2801,1.7427,1.9989,1.0851,1.429,1.5722,0.9672,0.6797,2.1581,2.0473,1.724,2.23,1.6758,2.2883,1.9999,1.3445,1.2285
45,2.7205,1.0937,1.8879,1.1702,2.1465,1.3558,1.3372,2.1362,1.2813,1.7392,1.9951,1.0771,1.4295,1.5624,0.9595,0.6743,2.1558,2.0468,1.7213,2.2209,1.6704,2.2882,1.9964,1.3337,1.2135
46,2.7178,1.0803,1.8824,1.1784,2.1489,1.3506,1.3462,2.1337,1.2829,1.7359,1.9914,1.0693,1.4302,1.5528,0.9521,0.6694,2.1537,2.0465,1.7189,2.212,1.6653,2.2882,1.9931,1.323,1.1986
47,2.7152,1.0687,1.8777,1.1856,2.1505,1.3461,1.3539,2.1311,1.2841,1.7328,1.9879,1.0628,1.4311,1.5445,0.9457,0.6654,2.1516,2.046,1.7168,2.2041,1.6608,2.2879,1.9901,1.3141,1.1859
48,2.7127,1.0557,1.8726,1.1943,2.1532,1.3415,1.3633,2.129,1.2863,1.73,1.9846,1.0557,1.4324,1.5353,0.9391,0.6617,2.1499,2.0461,1.7148,2.1954,1.6562,2.2883,1.9872,1.3039,1.1714
49,2.7105,1.0429,1.8678,1.2034,2.1561,1.3372,1.3729,2.127,1.2888,1.7275,1.9815,1.049,1.434,1.5263,0.9329,0.6587,2.1484,2.0464,1.7131,2.1869,1.6518,2.2888,1.9845,1.2939,1.1571
