id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
16,1.8537,0.6397,0.9454,1.5843,1.4083,1.78,0.5995,1.4849,1.5495,1.0343,0.8321,1.8645,1.5382,0.9514,0.9733,1.2288,0.2045,1.5249,1.7001,1.9661,1.4927,0.7045,0.8473,1.2333,1.2231,1.3393,1.276,0.9767,0.74,1.0013,0.6524,1.1946,1.3721,1.939,0.3737,2.0419,1.7376,1.3549,1.2373,1.1147
17,1.8537,0.6397,0.9454,1.5843,1.4083,1.78,0.5995,1.4849,1.5495,1.0343,0.8321,1.8645,1.5382,0.9514,0.9733,1.2288,0.2045,1.5249,1.7001,1.9661,1.4927,0.7045,0.8473,1.2333,1.2231,1.3393,1.276,0.9767,0.74,1.0013,0.6524,1.1946,1.3721,1.939,0.3737,2.0419,1.7376,1.3549,1.2373,1.1147
18,1.8537,0.6397,0.9454,1.5843,1.4083,1.78,0.5995,1.4849,1.5495,1.0343,0.8321,1.8645,1.5382,0.9514,0.9733,1.2288,0.2045,1.5249,1.7001,1.9661,1.4927,0.7045,0.8473,1.2333,1.2231,1.3393,1.276,0.9767,0.74,1.0013,0.6524,1.1946,1.3721,1.939,0.3737,2.0419,1.7376,1.3549,1.2373,1.1147
19,1.8537,0.6397,0.9454,1.5843,1.4083,1.78,0.5995,1.4849,1.5495,1.0343,0.8321,1.8645,1.5382,0.9514,0.9733,1.2288,0.2045,1.5249,1.7001,1.9661,1.4927,0.7045,0.8473,1.2333,1.2231,1.3393,1.276,0.9767,0.74,1.0013,0.6524,1.1946,1.3721,1.939,0.3737,2.0419,1.7376,1.3549,1.2373,1.1147
20,1.9676,0.6099,1.0508,1.5337,1.3664,1.9286,0.7436,1.4657,1.7105,1.1147,0.9891,1.9414,1.6786,1.0633,1.0174,1.1903,0.2626,1.596,1.7273,2.0217,1.335,0.5149,0.8925,1.0315,1.3556,1.5194,1.3969,1.0783,0.839,0.8148,0.4797,1.3825,1.3712,2.1211,0.2755,2.0788,1.8813,1.4142,1.1604,1.2918
21,2.0655,0.3892,1.3232,1.7274,1.5573,2.1491,1.0248,1.575,1.9768,1.244,1.1137,2.0891,1.9152,1.3554,1.2813,1.3441,0.3315,1.8277,1.7991,2.1856,1.4743,0.6209,1.1201,0.9886,1.5891,1.6476,1.6143,1.2834,1.1324,0.9079,0.4131,1.5446,1.4271,2.304,0.1826,2.1942,2.0141,1.6877,1.2583,1.4002
22,1.8501,0.504,1.148,1.5617,1.3809,1.9414,0.89,1.3675,1.8068,1.019,0.9153,1.8631,1.7125,1.229,1.2573,1.1492,0.3372,1.6207,1.5843,1.9624,1.4412,0.5568,1.1394,0.9546,1.3851,1.4576,1.4016,1.067,1.0183,0.8609,0.3231,1.3552,1.2181,2.1059,0.3284,1.9735,1.8009,1.5192,1.0777,1.2168
23,1.8541,0.4678,1.1656,1.5979,1.4161,1.9511,0.8989,1.3953,1.8155,1.0311,0.9109,1.8795,1.7245,1.2427,1.268,1.1824,0.3127,1.6437,1.6011,1.9839,1.4777,0.5946,1.1424,0.9881,1.398,1.4507,1.4156,1.0827,1.0321,0.8988,0.3543,1.3506,1.2373,2.1055,0.308,1.9937,1.803,1.5437,1.112,1.2071
24,1.8589,0.4281,1.1869,1.6386,1.4557,1.9628,0.9115,1.4265,1.8265,1.0459,0.9078,1.8982,1.739,1.2601,1.2823,1.2196,0.2905,1.6703,1.62,2.0082,1.5191,0.6374,1.1486,1.0258,1.4136,1.444,1.4323,1.1016,1.0499,0.9416,0.3906,1.3467,1.2592,2.106,0.2911,2.0163,1.806,1.5723,1.1502,1.1973
25,1.8653,0.3915,1.207,1.6775,1.4937,1.9741,0.9233,1.4579,1.8365,1.062,0.9067,1.9174,1.7528,1.2759,1.2947,1.2561,0.2717,1.6958,1.6403,2.0325,1.5582,0.6783,1.1533,1.0636,1.4289,1.4386,1.4488,1.1206,1.0661,0.9825,0.4281,1.3438,1.2826,2.1067,0.2788,2.0395,1.8101,1.5991,1.1881,1.1894
