id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
2,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
3,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
4,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
5,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
6,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
7,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
8,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
9,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
10,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
11,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
12,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
13,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
14,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
15,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
16,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
17,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
18,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
19,1.9378,1.3314,1.9934,1.6161,1.3779,1.6463,2.1401,0.3574,1.7326,1.2612,1.1118,2.0757,1.9448,0.4492,1.6309,2.0739,0.2019,1.3998,0.5899,0.969,0.9812,0.9799,1.8703,1.895,1.3912,1.1473,0.8505,0.6732,0.5344,1.1239,1.3099,1.5298,0.3821,0.9536,1.4617,1.9932,1.6959,1.7041,0.728,0.9057
20,1.9539,1.3673,2.1296,1.6217,1.4206,1.6322,2.2824,0.3569,1.8304,1.1407,1.2494,2.2517,2.0176,0.573,1.598,2.2079,0.2039,1.3949,0.669,0.8488,0.9384,1.1335,2.0018,2.0384,1.558,0.9663,1.03,0.8246,0.6274,1.1372,1.2935,1.5581,0.3109,1.0999,1.4787,2.0652,1.7132,1.703,0.6481,0.7626
21,2.0555,1.5171,2.2336,1.8688,1.6751,1.8012,2.5193,0.3327,2.0325,1.2751,1.4264,2.3983,2.1626,0.8428,1.8174,2.3509,0.4578,1.4614,0.6262,0.847,0.945,1.3289,2.2541,2.27,1.7514,0.9756,1.1359,1.0868,0.8577,1.2761,1.3173,1.7501,0.2219,1.2271,1.568,2.2114,1.829,1.888,0.8495,0.9473
22,1.8397,1.2948,2.0234,1.7005,1.492,1.6007,2.315,0.1775,1.8121,1.1446,1.2111,2.1982,1.9368,0.7861,1.6549,2.1322,0.3084,1.2516,0.4967,0.6959,0.7522,1.1224,2.057,2.0643,1.5472,0.898,0.9603,0.9184,0.6582,1.0568,1.1184,1.5382,0.3635,1.0206,1.3509,1.9856,1.6112,1.6862,0.8882,0.9298
23,1.8618,1.3175,2.0239,1.7318,1.5191,1.6323,2.327,0.151,1.8295,1.1841,1.2183,2.1954,1.9538,0.7884,1.6899,2.1378,0.3238,1.2728,0.4719,0.7272,0.7716,1.128,2.0715,2.0758,1.5507,0.935,0.9483,0.9277,0.6745,1.0817,1.1363,1.5653,0.3398,1.0195,1.371,2.0029,1.6343,1.7171,0.9022,0.9604
24,1.8865,1.3434,2.0248,1.7675,1.5502,1.6677,2.3413,0.1291,1.8495,1.2282,1.2275,2.1929,1.973,0.7945,1.7293,2.1445,0.3465,1.2968,0.446,0.7623,0.7943,1.1359,2.0887,2.0894,1.5558,0.9763,0.9365,0.9405,0.6952,1.11,1.1568,1.5961,0.3182,1.0197,1.3938,2.0224,1.6602,1.7517,0.9207,0.996
25,1.9119,1.3695,2.0271,1.8011,1.5796,1.7022,2.3547,0.121,1.8693,1.2705,1.2376,2.1912,1.9927,0.7998,1.7667,2.152,0.37,1.322,0.4252,0.7984,0.8194,1.1443,2.1048,2.1025,1.5612,1.017,0.9268,0.9528,0.716,1.1386,1.1792,1.6261,0.3003,1.0217,1.4176,2.0423,1.6866,1.7854,0.9378,1.0294
26,1.938,1.3972,2.0299,1.8375,1.612,1.7384,2.3705,0.1276,1.891,1.3147,1.2498,2.1904,2.0134,0.8106,1.8066,2.1605,0.3998,1.348,0.406,0.8352,0.8454,1.1555,2.1235,2.1178,1.5687,1.0588,0.9189,0.9693,0.7408,1.1688,1.2022,1.6581,0.2893,1.0257,1.4423,2.0634,1.7139,1.821,0.9597,1.0664
27,1.9674,1.4284,2.0371,1.876,1.647,1.7772,2.3899,0.1508,1.9165,1.3595,1.2668,2.1939,2.038,0.8243,1.8482,2.1732,0.4334,1.3774,0.3939,0.8736,0.8749,1.1714,2.1458,2.1369,1.5807,1.1006,0.9165,0.9899,0.7699,1.2025,1.2286,1.6931,0.2825,1.035,1.4706,2.0882,1.7447,1.8591,0.9821,1.1033
28,2.0934,1.5988,2.1085,2.1229,1.8899,1.9742,2.5801,0.3665,2.0993,1.5671,1.4288,2.2873,2.1785,1.0599,2.0868,2.2828,0.6957,1.4927,0.4196,1.0025,0.9757,1.3475,2.3554,2.325,1.7364,1.2489,1.0115,1.2219,1.0044,1.3779,1.3141,1.895,0.4296,1.1583,1.5947,2.2293,1.8864,2.0634,1.2044,1.3365
29,1.9712,1.5004,1.9583,2.1006,1.8568,1.9048,2.4967,0.3696,2.0021,1.5628,1.3281,2.1583,2.0537,1.1206,2.0659,2.146,0.7287,1.3753,0.2961,0.9575,0.8744,1.2628,2.289,2.2406,1.6386,1.2587,0.9038,1.2015,0.9723,1.29,1.19,1.8189,0.5688,1.042,1.4741,2.1048,1.7729,1.9954,1.315,1.4164
